Country,URL,Team Initials
France,https://flagpedia.net/data/flags/w702/fr.webp,FRA
USA,https://flagpedia.net/data/flags/w702/us.webp,USA
Yugoslavia,https://th.bing.com/th/id/OIP.q4T6jTEoUXMjqy7Wd9gdKQHaE7?w=276&h=184&c=7&r=0&o=5&dpr=1.3&pid=1.7,YUG
Romania,https://th.bing.com/th/id/OIP.Gsy04uBPPGr8x8eQTFZ1UAHaE8?w=246&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7,ROU
Argentina,https://th.bing.com/th/id/OIP.ZXI95g5D7owTAijk4cfq8wHaE8?w=261&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7,ARG
Chile,https://th.bing.com/th/id/OIP.W9_-TYV_d5GqwXJSz7BPmAHaE8?w=257&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7,CHI
Uruguay,https://th.bing.com/th/id/OIP.tUyG3hwRov3I2F3xB6i_5AHaE7?w=252&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7,URU
Brazil,https://th.bing.com/th/id/OIP.GLgjFwnW0kEVoQqtLnB-wwHaFF?w=239&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7,BRA
Paraguay,https://th.bing.com/th/id/OIP.hcwufXmnQVk3EgZAbnWNVwHaEE?w=327&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7,PAR
Austria,https://th.bing.com/th/id/OIP.Y6fYsJ4h-oU6bOAeOEu6CQHaE8?w=255&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7,AUT
Hungary,https://th.bing.com/th/id/OIP.7qIxyJ9T9Os8buHdy23NgQHaEo?w=297&h=185&c=7&r=0&o=5&dpr=1.3&pid=1.7,HUN
Switzerland,https://th.bing.com/th/id/OIP.7mNZzkZLyBvIEgc-__sObwAAAA?w=200&h=200&c=7&r=0&o=5&dpr=1.3&pid=1.7,SUI
Sweden,https://th.bing.com/th/id/OIP.gg41IHdifGU3IHFxy88_NAHaEo?w=252&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7,SWE
Germany,https://th.bing.com/th/id/OIP.zi4fkdZa56AlGdBRKzNvMQAAAA?w=261&h=181&c=7&r=0&o=5&dpr=1.3&pid=1.7,GER
Spain,https://th.bing.com/th/id/OIP.8TGjxJDP_2S8gE78ztfkAwHaE8?w=268&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7,ESP
Italy,https://th.bing.com/th/id/OIP.TpVkVp5HY5O7gIlMeAP8dQHaE8?w=274&h=183&c=7&r=0&o=5&dpr=1.3&pid=1.7,ITA
