Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Conditions of Winning,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,
1930,13 Jul 1930 - 15:00 ,Group 1,Pocitos,Montevideo ,France,4,1,Mexico, ,,4444,3,0,LOMBARDI Domingo (URU),CRISTOPHE Henry (BEL),REGO Gilberto (BRA),201,1096,FRA,MEX,193013 Jul 1930 - 15:00 Group 1PocitosMontevideo FranceMexico41 444430LOMBARDI Domingo (URU)CRISTOPHE Henry (BEL)REGO Gilberto (BRA)2011096FRAMEX
1930,13 Jul 1930 - 15:00 ,Group 4,Parque Central,Montevideo ,USA,3,0,Belgium, ,,18346,2,0,MACIAS Jose (ARG),MATEUCCI Francisco (URU),WARNKEN Alberto (CHI),201,1090,USA,BEL,193013 Jul 1930 - 15:00 Group 4Parque CentralMontevideo USABelgium30 1834620MACIAS Jose (ARG)MATEUCCI Francisco (URU)WARNKEN Alberto (CHI)2011090USABEL
1930,14 Jul 1930 - 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,2,1,Brazil, ,,24059,2,0,TEJADA Anibal (URU),VALLARINO Ricardo (URU),BALWAY Thomas (FRA),201,1093,YUG,BRA,193014 Jul 1930 - 12:45 Group 2Parque CentralMontevideo YugoslaviaBrazil21 2405920TEJADA Anibal (URU)VALLARINO Ricardo (URU)BALWAY Thomas (FRA)2011093YUGBRA
1930,14 Jul 1930 - 14:50 ,Group 3,Pocitos,Montevideo ,Romania,3,1,Peru, ,,2549,1,0,WARNKEN Alberto (CHI),LANGENUS Jean (BEL),MATEUCCI Francisco (URU),201,1098,ROU,PER,193014 Jul 1930 - 14:50 Group 3PocitosMontevideo RomaniaPeru31 254910WARNKEN Alberto (CHI)LANGENUS Jean (BEL)MATEUCCI Francisco (URU)2011098ROUPER
1930,15 Jul 1930 - 16:00 ,Group 1,Parque Central,Montevideo ,Argentina,1,0,France, ,,23409,0,0,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),RADULESCU Constantin (ROU),201,1085,ARG,FRA,193015 Jul 1930 - 16:00 Group 1Parque CentralMontevideo ArgentinaFrance10 2340900REGO Gilberto (BRA)SAUCEDO Ulises (BOL)RADULESCU Constantin (ROU)2011085ARGFRA
1930,16 Jul 1930 - 14:45 ,Group 1,Parque Central,Montevideo ,Chile,3,0,Mexico, ,,9249,1,0,CRISTOPHE Henry (BEL),APHESTEGUY Martin (URU),LANGENUS Jean (BEL),201,1095,CHI,MEX,193016 Jul 1930 - 14:45 Group 1Parque CentralMontevideo ChileMexico30 924910CRISTOPHE Henry (BEL)APHESTEGUY Martin (URU)LANGENUS Jean (BEL)2011095CHIMEX
1930,17 Jul 1930 - 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,4,0,Bolivia, ,,18306,0,0,MATEUCCI Francisco (URU),LOMBARDI Domingo (URU),WARNKEN Alberto (CHI),201,1092,YUG,BOL,193017 Jul 1930 - 12:45 Group 2Parque CentralMontevideo YugoslaviaBolivia40 1830600MATEUCCI Francisco (URU)LOMBARDI Domingo (URU)WARNKEN Alberto (CHI)2011092YUGBOL
1930,17 Jul 1930 - 14:45 ,Group 4,Parque Central,Montevideo ,USA,3,0,Paraguay, ,,18306,2,0,MACIAS Jose (ARG),APHESTEGUY Martin (URU),TEJADA Anibal (URU),201,1097,USA,PAR,193017 Jul 1930 - 14:45 Group 4Parque CentralMontevideo USAParaguay30 1830620MACIAS Jose (ARG)APHESTEGUY Martin (URU)TEJADA Anibal (URU)2011097USAPAR
1930,18 Jul 1930 - 14:30 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,1,0,Peru, ,,57735,0,0,LANGENUS Jean (BEL),BALWAY Thomas (FRA),CRISTOPHE Henry (BEL),201,1099,URU,PER,193018 Jul 1930 - 14:30 Group 3Estadio CentenarioMontevideo UruguayPeru10 5773500LANGENUS Jean (BEL)BALWAY Thomas (FRA)CRISTOPHE Henry (BEL)2011099URUPER
1930,19 Jul 1930 - 12:50 ,Group 1,Estadio Centenario,Montevideo ,Chile,1,0,France, ,,2000,0,0,TEJADA Anibal (URU),LOMBARDI Domingo (URU),REGO Gilberto (BRA),201,1094,CHI,FRA,193019 Jul 1930 - 12:50 Group 1Estadio CentenarioMontevideo ChileFrance10 200000TEJADA Anibal (URU)LOMBARDI Domingo (URU)REGO Gilberto (BRA)2011094CHIFRA
